sample_idx,frame_idx,time_sec,has_bbox,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,iou_prev,center_disp_norm
0,0,0.0,False,,,,,0.0,,
1,6,0.24,True,0.0,1432.0,710.0,309.0,81929.5,,
2,12,0.48,True,948.0,1049.0,742.0,1063.0,115498.5,0.0,0.21880601350585357
3,18,0.72,True,976.0,1368.0,665.0,745.0,157748.5,0.6267457636136309,0.03639376258817932
4,24,0.96,True,1003.0,1412.0,932.0,775.0,278511.5,0.5804614484086039,0.038812514053009596
5,30,1.2,True,0.0,1588.0,735.0,893.0,146898.0,0.0,0.25563699768176257
6,36,1.44,True,0.0,1486.0,845.0,1254.0,230429.5,0.6194190424959656,0.021755375068669883
7,42,1.68,True,68.0,1619.0,664.0,1217.0,193427.0,0.6625967843300629,0.026485401020075138
8,48,1.92,True,370.0,2030.0,234.0,691.0,51328.5,0.200094544158557,0.03896601379143873
9,54,2.16,True,444.0,2026.0,222.0,852.0,66564.5,0.4601336784890835,0.023231472326614353
10,60,2.4,True,475.0,2028.0,183.0,877.0,40438.0,0.8014529716361388,0.00420053004835205
11,66,2.64,True,233.0,1979.0,441.0,877.0,82390.0,0.3829032355884404,0.027955457128276524
12,72,2.88,True,1237.0,1761.0,539.0,1159.0,193433.0,0.0,0.23964049655649824
13,78,3.12,True,1225.0,1595.0,748.0,885.0,263384.5,0.4310129679471495,0.0719060600687633
14,84,3.36,True,1093.0,1339.0,733.0,944.0,135434.0,0.4396731756489488,0.06037753686974132
15,90,3.6,True,1035.0,1616.0,486.0,695.0,67000.0,0.38357747303982825,0.053806676771716334
16,96,3.84,True,0.0,1677.0,791.0,182.0,27255.0,0.0,0.20515961685815132
17,102,4.08,True,0.0,1707.0,769.0,138.0,47931.0,0.7371528597824426,0.0030871637927955236
18,108,4.32,True,1020.0,1458.0,672.0,882.0,108721.0,0.0,0.22226434918966553
19,114,4.56,True,0.0,1655.0,1018.0,775.0,151788.0,0.0,0.1949855179997751
