sample_idx,frame_idx,time_sec,has_bbox,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,iou_prev,center_disp_norm
20,120,4.8,True,1184.0,1963.0,671.0,834.0,196927.0,0.0,0.24181035540387286
21,126,5.04,True,49.0,2207.0,606.0,717.0,99676.0,0.0,0.26831472717806537
22,132,5.28,True,284.0,2245.0,390.0,827.0,91539.5,0.49870823541988785,0.03572785409443461
23,138,5.52,True,284.0,2322.0,323.0,750.0,61300.5,0.7510929215886895,0.011583398266367966
24,144,5.76,True,426.0,2383.0,201.0,746.0,41433.0,0.46622452679943327,0.022744893957128098
25,150,6.0,True,543.0,2233.0,133.0,753.0,17822.0,0.25396729892751313,0.03821729227004022
26,156,6.24,True,1426.0,1770.0,376.0,1418.0,85140.5,0.0,0.2299101665366009
27,162,6.48,True,1338.0,1937.0,545.0,1268.0,195505.0,0.623963324366056,0.0208966027406268
28,168,6.72,True,1163.0,1683.0,957.0,1144.0,358679.0,0.37288075657009667,0.07206770512047692
29,174,6.96,True,0.0,1398.0,1854.0,1002.0,379375.0,0.20164146794412366,0.18118717432704734
30,180,7.2,True,809.0,1370.0,958.0,997.0,156015.5,0.4925902027665224,0.08222909905935621
31,186,7.44,True,996.0,1834.0,447.0,583.0,36506.0,0.2437410227974907,0.0603684704928046
32,192,7.68,True,0.0,1789.0,754.0,179.0,61370.0,0.0,0.19927322847962056
33,198,7.92,True,1048.0,1486.0,606.0,381.0,72063.0,0.0,0.22577576269704178
34,204,8.16,True,936.0,1910.0,821.0,561.0,231723.0,0.0,0.11666848813400775
35,210,8.4,True,1021.0,1975.0,649.0,956.0,207945.0,0.42404834011969106,0.05958079131069043
36,216,8.64,True,0.0,1739.0,998.0,1009.0,114462.0,0.0,0.19792919295047004
37,222,8.88,True,0.0,2204.0,470.0,841.0,79607.5,0.22299515425110678,0.1052079507832553
38,228,9.12,True,121.0,2206.0,335.0,941.0,65581.5,0.6544918964232489,0.01693382868910265
39,234,9.36,True,264.0,2362.0,211.0,836.0,79645.0,0.44210952418666455,0.029830520909712707
40,240,9.6,True,1178.0,1771.0,389.0,1523.0,97906.5,0.0,0.2344822605975746
41,246,9.84,True,917.0,1727.0,810.0,1563.0,413038.0,0.46615456466070154,0.012690702408827095
42,252,10.08,True,1238.0,1709.0,783.0,1419.0,435177.0,0.4048946287805449,0.07272211575702431
43,258,10.32,True,1196.0,1813.0,819.0,676.0,243318.0,0.46096207970554703,0.060959100141347734
44,264,10.56,True,1182.0,1317.0,809.0,487.0,90089.0,0.0,0.13409679765605503
45,270,10.8,True,0.0,1697.0,922.0,169.0,66314.0,0.0,0.2603360409314853
46,276,11.04,True,1193.0,1148.0,795.0,1180.0,79697.0,0.0,0.256555826404926
47,282,11.28,True,970.0,1242.0,1039.0,1106.0,192137.0,0.7054460299510403,0.0263229737100314
48,288,11.52,True,0.0,1795.0,1026.0,549.0,184762.5,0.01828189222103821,0.23022947283787268
49,294,11.76,True,1422.0,1658.0,738.0,1024.0,338632.0,0.0,0.29096675329111316
50,300,12.0,True,1557.0,1891.0,514.0,1215.0,194344.0,0.4175780158743201,0.07474309293491328
51,306,12.24,True,1579.0,1722.0,520.0,1363.0,98943.5,0.7876517453226105,0.022296539512891178
52,312,12.48,True,1571.0,1737.0,445.0,1521.0,95437.0,0.7395537387841498,0.023703448399762937
53,318,12.72,True,1434.0,1702.0,510.0,1621.0,52368.5,0.6059812736722701,0.02396176006543685
54,324,12.96,True,581.0,2345.0,215.0,816.0,56393.5,0.0,0.23355495206981516
55,330,13.2,True,215.0,1975.0,573.0,1043.0,115916.0,0.21981387510887265,0.07204777628826864
56,336,13.44,True,1461.0,1906.0,536.0,1212.0,247273.0,0.0,0.27863131825945486
57,342,13.68,True,1264.0,1747.0,896.0,842.0,292196.0,0.35269408926603313,0.07817392549796442
58,348,13.92,True,1226.0,1381.0,773.0,1026.0,198725.5,0.45659478742128895,0.06616412732721542
59,354,14.16,True,1187.0,1224.0,748.0,1183.0,116197.5,0.7652785551071593,0.021309470031500292
60,360,14.4,True,1895.0,918.0,265.0,330.0,56734.5,0.0009882908128074253,0.1971110092277615
61,366,14.64,True,0.0,1813.0,960.0,324.0,165738.0,0.0,0.40541307816930233
62,372,14.88,True,0.0,2071.0,719.0,314.0,96524.0,0.09697313998921023,0.0636047474741696
63,378,15.12,True,1433.0,1826.0,548.0,897.0,219460.0,0.0,0.30602789321021673
64,384,15.36,True,0.0,1855.0,960.0,1116.0,218239.0,0.0,0.28026418981703943
65,390,15.6,True,1234.0,1793.0,627.0,1272.0,113617.5,0.0,0.24232067380983913
66,396,15.84,True,251.0,2308.0,423.0,840.0,73813.0,0.0,0.25544535335877255
67,402,16.08,True,433.0,2344.0,285.0,893.0,103559.5,0.46571055686545965,0.02930960629105015
68,408,16.32,True,1540.0,1928.0,247.0,1446.0,54526.0,0.0,0.24896797473560706
69,414,16.56,True,1147.0,1807.0,744.0,1402.0,184147.0,0.29193065785358213,0.04614265396037693
70,420,16.8,True,1395.0,1794.0,752.0,1418.0,406001.5,0.49177953539948177,0.05720840208719572
71,426,17.04,True,1464.0,1880.0,676.0,820.0,204494.5,0.519836149206254,0.04885454331893215
72,432,17.28,True,0.0,2085.0,789.0,264.0,86030.5,0.0,0.31989359801287187
73,438,17.52,True,1237.0,1293.0,790.0,1165.0,110031.5,0.0,0.29137760333178697
74,444,17.76,True,1237.0,1294.0,790.0,1150.0,36421.0,0.9871244635193133,0.0014753231748202006
75,450,18.0,True,1253.0,1340.0,776.0,1103.0,97336.0,0.937428764057775,0.0055002866124404005
76,456,18.24,True,0.0,2091.0,800.0,309.0,87975.0,0.0,0.2929089869943406
77,462,18.48,True,1473.0,1841.0,646.0,878.0,244602.0,0.0,0.3169507687838506
78,468,18.72,True,1447.0,1986.0,515.0,1129.0,210154.0,0.4536109219854566,0.06481355141798514
79,474,18.96,True,1385.0,2030.0,349.0,1285.0,160630.0,0.43339294785700866,0.04301059626838122
80,480,19.2,True,1461.0,1828.0,392.0,1488.0,133706.0,0.5151654438759626,0.031781460032232874
81,486,19.44,True,1421.0,1809.0,323.0,1580.0,73895.0,0.6261471573099867,0.017985714488203422
82,492,19.68,True,420.0,2348.0,206.0,887.0,56549.0,0.0,0.244414662493895
83,498,19.92,True,1228.0,1721.0,549.0,1477.0,98648.5,0.0,0.23474345282825315
84,504,20.16,True,1077.0,1710.0,860.0,1015.0,201614.5,0.4866741952202808,0.054936912120960045
85,510,20.4,True,1371.0,1745.0,566.0,983.0,246695.0,0.63421137482592,0.03364254456018464
86,516,20.64,True,0.0,1799.0,913.0,226.0,88613.5,0.0,0.28160240496551286
87,522,20.88,True,0.0,1856.0,720.0,179.0,70360.0,0.5698283209545842,0.023185135029090895
88,528,21.12,True,1177.0,1272.0,739.0,743.0,32417.5,0.0,0.27788981677615787
89,534,21.36,True,0.0,1742.0,1008.0,360.0,177504.0,0.0,0.2449170567695724
90,540,21.6,True,937.0,1484.0,1223.0,935.0,311664.0,0.01726064862492192,0.2371676205952652
91,546,21.84,True,1262.0,1930.0,781.0,944.0,222151.0,0.25479964773227654,0.10494055994622181
92,552,22.08,True,1356.0,2094.0,524.0,1155.0,158339.5,0.43771231274711814,0.06166834580813326
93,558,22.32,True,489.0,2246.0,338.0,979.0,144409.0,0.0,0.2183775560955485
