rep_id,start_sec,end_sec,duration_sec,peak_time,peak_motion
0,0.0,6.48,6.48,2.88,9.807975019290124
1,6.48,13.440000000000001,6.960000000000001,10.08,10.912748360339506
2,13.440000000000001,18.48,5.039999999999999,16.8,10.38809425636574
3,18.48,21.84,3.3599999999999994,20.16,10.020245346257717
